Company,Filename,Year,Unique ID
MAHINDRA LOGISTICS LIMITED,1509175829817.pdf,2017,U63000MH2007PLC173466
INDOSTAR CAPITAL FINANCE LIMITED,1525329212867.pdf,2018,U65100MH2009PLC268160
SPANDANA SPHOORTY FINANCIAL LIMITED,1565271868951.pdf,2019,U65929TG2003PLC040648
CYIENT DLM LIMITED,1688538460294.pdf,2023,U31909TG1993PLC141346
SENCO GOLD LIMITED,1689058557358.pdf,2023,U36911WB1994PLC064637
MTAR TECHNOLOGIES LIMITED,1684480159819.pdf,2021,U72200TG1999PLC032836
DIXON TECHNOLOGIES (INDIA) LIMITED,1509196610149.pdf,2017,U32101UP1993PLC066581
DE NEERS TOOLS LIMITED,1685349832530.pdf,2023,U29309DL2021PLC384229
RAJSHREE POLYPACK LIMITED,1535611987041.pdf,2018,U25209MH2011PLC223089
Manomay Tex India Limited,1488877890841.pdf,2017,U18101RJ2009PLC028647
SOUTH WEST PINNACLE EXPLORATION LIMITED,1517378288612.pdf,2018,U13203HR2006PLC049480
AMBITION MICA LIMITED,1510806270377.pdf,2017,L25202GJ2010PLC059931
HINDUSTAN AERONAUTICS LIMITED,1520937469154.pdf,2018,U35301KA1963GOI001622
K.P.R. AGROCHEM LIMITED,1684478546168.pdf,2019,U24129AP2007PLC052216
KUBERAN GLOBAL EDU SOLUTIONS LIMITED,1617607350381.pdf,2021,U80900TZ2013PLC019519
R M DRIP AND SPRINKLERS SYSTEMS LIMITED,1509195318715.pdf,2017,U27200MH2004PLC150101
TAMILNAD MERCANTILE BANK LIMITED,1663570839596.pdf,2022,U65110TN1921PLC001908
MACROTECH DEVELOPERS LIMITED,1681818089619.pdf,2021,U45200MH1995PLC093041
CREDITACCESS GRAMEEN LIMITED,1533897131366.pdf,2018,U51216KA1991PLC053425
RUCHI SOYA INDUSTRIES LIMITED,1681728739807.pdf,2022,L15140MH1986PLC038536
VEDANT FASHIONS LIMITED,1682060353077.pdf,2022,U51311WB2002PLC094677
PRINCE PIPES AND FITTINGS LIMITED,1576589642439.pdf,2019,U26932GA1987PLC006287
ASTER DM HEALTHCARE LIMITED,1517987362154.pdf,2018,U85110KL2008PLC021703
AGS TRANSACT TECHNOLOGIES LIMITED,1683612124790.pdf,2022,U72200MH2002PLC138213
VIVO COLLABORATION SOLUTIONS LIMITED,1640003593915.pdf,2021,U72900DL2012PLC230709
GTPL HATHWAY LIMITED,1497439277003.pdf,2017,U64204GJ2006PLC048908
RAILTEL CORPORATION OF INDIA LIMITED,1615523360830.pdf,2021,U64202DL2000GOI107905
NEWGEN SOFTWARE TECHNOLOGIES LIMITED,1516075062310.pdf,2018,U72200DL1992PLC049074
